id;name;país;category; Ano ;ESG;E;S;G; Raised ; EPI ; CO2_E ; CO2_pc ; E_RNEW ; EnvironmentalTaxesgdp ; WUI ; PolStab ; VoiceandAccountability ; GovernmentEffectiveness ; RegulatoryQuality ; RuleofLaw ; ControlofCorruption ; Easeofdoingbusiness ; GDPUSD ; GDPpc ; Consumerprice ; Reservas ; Exchanderate ; Giniindex ; Bankcapital ; nonperformingloans ; Payingtax ; Unemployment ; IDH 
12316;VenusEnergy;Lithuania;Energia & Sustentabilidade; 2.018 ;0,010 ;0,008 ;0,002 ;0,000 ; 5.986.183,00 ; 85,49 ; 11.222,20 ; 3,97 ; 33,78 ; 2,06 ; 0,01 ; 0,78 ; 0,99 ; 0,96 ; 1,15 ; 0,99 ; 0,55 ; 79,20 ; 47.769,77 ; 16.885,41 ; 3,72 ; 4.461,70 ; 3,06 ; 37,30 ; 9,39 ; 3,18 ; 42,60 ; 7,07 ; 0,88 
1553;HydroMiner;Austria;Energia & Sustentabilidade; 2.017 ;0,014 ;0,010 ;0,000 ;0,004 ; 3.500.000,00 ; 86,64 ; 65.867,70 ; 7,49 ; 33,97 ; 2,53 ; 0,07 ; 1,05 ; 1,39 ; 1,50 ; 1,44 ; 1,83 ; 1,54 ; 78,90 ; 417.617,98 ; 47.429,16 ; 2,07 ; 10.344,89 ; 12,20 ; 29,70 ; 7,54 ; 2,37 ; 51,60 ; 5,50 ; 0,92 
6058;HERO Token;British Virgin Islands;Entretenimento & Mídia; 2.018 ;0,011 ;0,000 ;0,011 ;0,000 ; 36.416.517,00 ; -   ; -   ; -   ; 1,15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2732;Skychain;Russian Federation;Tecnologia & Inovação; 2.018 ;0,006 ;0,000 ;0,004 ;0,002 ; 9.815.000,00 ; 83,52 ; 1.594.550,30 ; 11,04 ; 3,25 ; -   ; 0,15 ;-0,64 ;-1,09 ;-0,15 ;-0,51 ;-0,83 ;-0,89 ; 75,30 ; 1.573.771,79 ; 10.720,33 ; 3,68 ; 432.742,20 ; 58,31 ; 37,20 ; 10,51 ; 10,00 ; 47,40 ; 5,21 ; 0,84 
11647;Minery;Russian Federation;Energia & Sustentabilidade; 2.018 ;0,014 ;0,010 ;0,002 ;0,002 ; 175.492,00 ; 83,52 ; 1.594.550,30 ; 11,04 ; 3,25 ; -   ; 0,15 ;-0,64 ;-1,09 ;-0,15 ;-0,51 ;-0,83 ;-0,89 ; 75,30 ; 1.573.771,79 ; 10.720,33 ; 3,68 ; 432.742,20 ; 58,31 ; 37,20 ; 10,51 ; 10,00 ; 47,40 ; 5,21 ; 0,84 
11110;PowerLoan;Hong Kong SAR, China;Finanças & Economia; 2.018 ;0,006 ;0,006 ;0,000 ;0,000 ; 1.621.950,00 ; 65,10 ; -   ; -   ; 0,20 ; -   ; 0,11 ; 0,83 ; 0,43 ; 1,90 ; 2,16 ; 1,71 ; 1,61 ; 84,80 ; 341.223,61 ; 46.160,43 ; 1,48 ; 431.370,00 ; 7,79 ; -   ; 9,83 ; 0,67 ; 22,90 ; 3,12 ; -   
13271;GreenX;Singapore;Energia & Sustentabilidade; 2.018 ;0,012 ;0,006 ;0,002 ;0,004 ; 2.100.000,00 ; 87,04 ; 47.324,20 ; 8,43 ; 0,70 ; 0,27 ; 0,12 ; 1,62 ;-0,17 ; 2,21 ; 2,11 ; 1,82 ; 2,13 ; 85,40 ; 343.357,49 ; 61.164,90 ; 0,57 ; 371.487,40 ; 1,38 ; -   ; 9,18 ; 1,40 ; 19,10 ; 4,20 ; 0,94 
2513;Synthium Health;United States;Saúde & Bem-Estar; 2.018 ;0,015 ;0,000 ;0,011 ;0,004 ; 129.562.181,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
3074;Healthureum;Estonia;Saúde & Bem-Estar; 2.018 ;0,006 ;0,000 ;0,004 ;0,002 ; 40.000.000,00 ; 88,59 ; 16.773,50 ; 12,73 ; 27,52 ; 2,87 ; -   ; 0,65 ; 1,21 ; 1,11 ; 1,64 ; 1,28 ; 1,24 ; 80,70 ; 26.905,55 ; 20.437,77 ; 3,41 ; 341,43 ; 13,88 ; 30,40 ; 12,77 ; 0,70 ; 48,50 ; 5,81 ; 0,89 
3358;WELL;United States;Saúde & Bem-Estar; 2.018 ;0,015 ;0,000 ;0,015 ;0,000 ; 15.000.000,00 ; 84,72 ; 4.819.365,10 ; 14,82 ; 9,92 ; 0,74 ; 0,04 ; 0,29 ; 1,01 ; 1,55 ; 1,63 ; 1,64 ; 1,38 ; 83,60 ; 19.477.400,00 ; 59.907,75 ; 2,13 ; 125.206,56 ; 1,00 ; 41,20 ; 11,65 ; 1,13 ; 44,00 ; 4,36 ; 0,93 
