Category;Raised;ESG;E;S;G
Commerce & Retail; 1.237.967.447,00 ;0,102;0;0,05;102
Education & Research; 226.058.616,00 ;0,052;0,002;0,04;30
Energy & Sustainability; 1.444.074.656,00 ;0,536;0,278;0,247;111
Entertainment & Media; 3.908.456.243,00 ;0,225;0,024;0,133;330
Finance & Economics; 10.298.473.446,35 ;0,878;0,048;0,467;826
Governance & Legal; 595.565.422,00 ;0,062;0,002;0,025;70
Logistics & Transportation; 985.622.978,00 ;0,127;0,01;0,063;118
Health & Wellbeing; 818.943.612,00 ;0,181;0,012;0,118;89
Social & Community; 953.694.553,00 ;0,093;0,002;0,061;103
Technology & Innovation; 5.899.891.106,00 ;0,373;0,02;0,203;382
