id,name,url,ESG,E,S,G
12,serenitysource,https://icomarks.com/ico/serenity-source,,,,
20,UCOIN,https://icomarks.com/ico/ucoin-currency,,,,
24,CINEMADROM (PreICO),https://icomarks.com/ico/CINEMADROM,,,,
44,QuickX Protocol,https://icomarks.com/ico/quick,,,,
54,Connecty.io,https://icomarks.com/ico/connecty-io,,,,
55,Crypto APIs,https://icomarks.com/blockchain/crypto-apis,,,,
56,CRYSTALS,https://icomarks.com/ico/bitcrystals,,,,
60,EverLife.AI,https://icomarks.com/ico/everlife-ai,,,,
74,PearlPay,https://icomarks.com/ico/pearl-finance,,,,
86,Urbit Data,https://icomarks.com/ico/Urbit,,,,
92,Bamboo (Wellness),https://icomarks.com/ico/BamboO,,,,
112,NOIA Network,https://icomarks.com/ico/Syntropy,,,,
125,ArcadierX,https://icomarks.com/ico/Arcadier-X,,,,
133,Casper API,https://icomarks.com/ico/casper,,,,
147,EyeGlob.Net,https://icomarks.com/ico/EyeGlob-Net,,,,
149,Galion.io,https://icomarks.com/ico/Galion-io,,,,
177,WorkChain.io,https://icomarks.com/ico/WorkChain,,,,
179,433token,https://icomarks.com/ico/433,,,,
186,CargoConX,https://icomarks.com/ico/cargox,,,,
190,Dapp.com,https://icomarks.com/ico/Dapp-com,,,,
204,ICOIN IEO,https://icomarks.com/ico/ICOIN,,,,
217,Sentigraph.io,https://icomarks.com/ico/Sentigraph-io,,,,
252,Aluna.Social,https://icomarks.com/ico/AlunaSocial,,,,
272,Job.com,https://icomarks.com/ico/Job-com,,,,
301,Allabout.me,https://icomarks.com/ico/AllabouT-ME,,,,
327,LocalAgro,https://icomarks.com/ico/local-agro,,,,
329,MEDIAR,https://icomarks.com/ieo/mediarich-io,,,,
344,Space.Cloud.Unit,https://icomarks.com/ico/space-cloud-unit,,,,
364,Emirex Token,https://icomarks.com/ico/Emirex,,,,
370,Hearo.fm,https://icomarks.com/ico/Hearo-fm,,,,
377,Land LayBy Listing Project,https://icomarks.com/ico/Land-LayBy,,,,
412,AIRSTAYZâ„¢,https://icomarks.com/ico/airstayz,,,,
426,Cornucopia.io,https://icomarks.com/ico/cornucopia-io-just-priority-listing,,,,
428,Creator.ai,https://icomarks.com/ico/Creator-AI,,,,
446,Kinguin.io,https://icomarks.com/ico/kinguin-io,,,,
476,SNTX IEO,https://icomarks.com/ico/SNTX,,,,
483,Truegym,https://icomarks.com/ico/true-gym-coin,,,,
495,Alluma.io,https://icomarks.com/ico/Alluma-IO,,,,
499,ARCH CRYPTON,https://icomarks.com/ieo/arch-crypton-game,,,,
503,Baltic.fund,https://icomarks.com/ico/Baltic-fund,,,,
527,Elige.re,https://icomarks.com/ico/EligeRE,,,,
541,Ink Labs Foundation,https://icomarks.com/ico/ink-labs-foundation-preico,,,,
562,REVOIL,https://icomarks.com/ieo/revoil-preico,,,,
570,The Power,https://icomarks.com/ico/Power,,,,
610,Etheracoin,https://icomarks.com/ico/ethera-coin,,,,
631,Mom.life,https://icomarks.com/ico/Mom-life,,,,
646,Procurean,https://icomarks.com/ico/procurean-network,,,,
666,VeryFile,https://icomarks.com/airdrop/veryfile,,,,
674,Afincoin,https://icomarks.com/ico/afin-coin,,,,
698,Decent.bet,https://icomarks.com/ico/Decent-bet,,,,
746,NWS.One,https://icomarks.com/ico/NWS-One,,,,
748,Ormeus,https://icomarks.com/ico/ormeus-coin,,,,
776,Tipbot v1,https://icomarks.com/ico/Tipbot,,,,
791,AZBI,https://icomarks.com/ico/AZBIT,,,,
804,Crypt-Oink on RAKUN Project,https://icomarks.com/ieo/rakun,,,,
813,dutyof.care,https://icomarks.com/ico/dutyof-care,,,,
816,Engineer.ai,https://icomarks.com/ico/Engineer-ai,,,,
833,HealthNet,https://icomarks.com/ico/health-coin-net,,,,
863,Nilex,https://icomarks.com/ico/nilex-crypto-exchange,,,,
909,VeChain,https://icomarks.com/ico/vechain-foundation,,,,
910,Virtonomics,https://icomarks.com/ico/virtonomics-preico,,,,
921,AMICORUM.LIVE,https://icomarks.com/ico/amicorum-live,,,,
929,Carats.io,https://icomarks.com/ico/Carats-IO,,,,
943,Elixir,https://icomarks.com/ico/elixir-platform,,,,
945,EXIMCHAIN,https://icomarks.com/ico/eximchain-just-priority-listing,,,,
962,Kryptopy,https://icomarks.com/ico/kryptopy-preico,,,,
968,Mass,https://icomarks.com/ico/mass-industrial-miner,,,,
990,Retail.Global,https://icomarks.com/ico/retail-global,,,,
992,Saat,https://icomarks.com/ico/saat-coin,,,,
1008,ViewChain,https://icomarks.com/ico/viewchain-view,,,,
1030,DeepBrain Chain,https://icomarks.com/ico/deeptoken-2,,,,
1034,EcoPole.farm,https://icomarks.com/ico/EcoPole-farm,,,,
1058,LTO Network,https://icomarks.com/airdrop/lto-network,,,,
1061,Mplus,https://icomarks.com/ico/mplus-mpl,,,,
1063,Onyx,https://icomarks.com/ico/onyxfutures,,,,
1070,Savior,https://icomarks.com/ico/savior-savi,,,,
1087,4lions.pro,https://icomarks.com/ico/4lionspro,,,,
1088,777.Bingo,https://icomarks.com/ico/777-bingo,,,,
1090,Alchemint,https://icomarks.com/ico/alchemint-ico,,,,
1096,Bess Coin,https://icomarks.com/ico/Bess,,,,
1097,BINEX.TRADE,https://icomarks.com/ico/binex-trade,,,,
1121,Intellectual.Network,https://icomarks.com/ico/intellectual-network,,,,
1122,Jarvis+,https://icomarks.com/ico/Jarvis,,,,
1156,VMC,https://icomarks.com/sto/vmc-ai,,,,
1164,Blockchain.aero,https://icomarks.com/ico/Blockchainaero,,,,
1168,Brewers <U+0421>oin,https://icomarks.com/ico/Brewers,,,,
1178,Flash,https://icomarks.com/ico/Flash,,,,
1183,Hilo.io,https://icomarks.com/ico/Hilo-IO,,,,
1186,Loyaltychain,https://icomarks.com/ico/tokenloyalty,,,,
1188,Medicorum,https://icomarks.com/ico/medicorumcoin,,,,
1196,PAL Network,https://icomarks.com/ico/policypal-network,,,,
1197,Photon,https://icomarks.com/ico/photon-network,,,,
1209,88 Coin,https://icomarks.com/ico/88-coin-preico,,,,
1211,Aita.network,https://icomarks.com/ico/aita-network,,,,
1218,Blackwave,https://icomarks.com/ico/black-wave,,,,
1232,Host.Games,https://icomarks.com/ico/host-games,,,,
1245,Pointnity Network,https://icomarks.com/ico/point,,,,
1252,Starkware,https://icomarks.com/ico/starkware-industries,,,,
1277,Loanbyte,https://icomarks.com/ico/loan-bit,,,,
1282,Oyoba Inc.,https://icomarks.com/ico/Oyoba-Inc,,,,
1289,Pyrex,https://icomarks.com/ico/pyrex-coin,,,,
1298,UXT,https://icomarks.com/ico/the-unified-exchange,,,,
1336,Witnet â€” Decentralized Oracle Network,https://icomarks.com/ico/witnet-decentralized-oracle-network,,,,
1354,AgreCoin (ACN),https://icomarks.com/ico/agrecoin-acn,,,,
1369,Buddy,https://icomarks.com/ico/buddtoken,,,,
1371,Libra,https://icomarks.com/airdrop/libra-ecosystem,,,,
1377,Astral9,https://icomarks.com/ico/astral9-just-priority-listing,,,,
1381,Pre-Charge,https://icomarks.com/ico/precharge,,,,
1395,FAYTHE.IO,https://icomarks.com/ico/FAYTHE-io,,,,
1402,Vio,https://icomarks.com/ico/vion,,,,
1417,Charitize.click,https://icomarks.com/ico/charitizeclick,,,,
1431,youengine,https://icomarks.com/ieo/youengineieo,,,,
1439,Roobee,https://icomarks.com/ieo/roobee-ieo,,,,
1441,Blockchain.io,https://icomarks.com/ico/Blockchain-IO,,,,
1449,HEROIC.com,https://icomarks.com/ico/HEROIC-com,,,,
1471,Konstellation's DARC Token,https://icomarks.com/airdrop/konstellation,,,,
1474,MetaMorph.pro,https://icomarks.com/ico/MetaMorph-pro,,,,
1482,SIX.Network,https://icomarks.com/ico/SIX-Network,,,,
1512,Remco,https://icomarks.com/airdrop/remco-quiz,,,,
1514,Sparkle,https://icomarks.com/ico/sparkle-mobile,,,,
1516,The 4th Pillar,https://icomarks.com/blockchain/the-4th-pillar,,,,
1535,Beverage.cash,https://icomarks.com/ico/Beverage-cash,,,,
1548,BuyAnyLight (BAL),https://icomarks.com/ieo/buyanylight,,,,
1549,BX.BET,https://icomarks.com/ico/BX-BET,,,,
1550,CargoCoin,https://icomarks.com/ico/cargocoin-just-priority-listing,,,,
1571,ECOSC.io,https://icomarks.com/ico/ECOSC-io,,,,
1600,iCasting.io,https://icomarks.com/ico/iCasting-IO,,,,
1621,Lynked.World,https://icomarks.com/ico/Lynked-World,,,,
1631,Quube.exchange,https://icomarks.com/ico/quube,,,,
1643,Solve.Care,https://icomarks.com/ico/SolveCare,,,,
1652,Tap4.Menu,https://icomarks.com/ico/Tap4-Menu,,,,
1656,The Abyss (DAICO),https://icomarks.com/ico/The-Abyss,,,,
1667,VIHOR - Sports Challenges,https://icomarks.com/ico/VIHOR,,,,
1692,Ammeris,https://icomarks.com/ico/ammeris-platform,,,,
1698,Astrome ICO,https://icomarks.com/ico/Astrome,,,,
1703,BCoin.sg,https://icomarks.com/ico/BCoin-sg,,,,
1713,Boomstarter.Network,https://icomarks.com/ico/Boomstarter-Network,,,,
1717,Capverto,https://icomarks.com/ico/capverto-ico,,,,
1731,CZero,https://icomarks.com/ico/czeromobility,,,,
1742,Effect.AI,https://icomarks.com/ico/Effect-AI,,,,
1752,Files.fm Library,https://icomarks.com/ico/Files-fm-Library,,,,
1782,Invox Finance,https://icomarks.com/ico/invox-finance-token-sale,,,,
1786,IZX,https://icomarks.com/ico/izetex,,,,
1790,Jury.Online,https://icomarks.com/ico/JuryOnline,,,,
1803,MeconCash,https://icomarks.com/ico/meconcash-mch,,,,
1806,Morpheus Infrastructure Token,https://icomarks.com/ico/Morpheus-Infrastructure,,,,
1811,N.Exchange,https://icomarks.com/ico/N-Exchange,,,,
1831,PROOF OF TOSS,https://icomarks.com/ico/TOSS,,,,
1836,Review.Network,https://icomarks.com/ico/review-network-ico,,,,
1841,Selfie GO,https://icomarks.com/ico/selfie-go-ico,,,,
1863,Travala,https://icomarks.com/ico/travala-com,,,,
1868,ubiatarplay.io,https://icomarks.com/ico/ubiatarplay-IO,,,,
1897,Zetanet: Blockchain 5.0 Project,https://icomarks.com/ico/zetanet-blockchain-50,,,,
1902,aGifttoken Stage I,https://icomarks.com/ico/agifttoken,,,,
1905,Arium 2.0,https://icomarks.com/ico/Arium-2-0,,,,
1914,Bitwin 2.0,https://icomarks.com/ico/bitwin-2-0,,,,
1917,BlooCYS,https://icomarks.com/ico/bloocys-experts-at-your-fingertips,,,,
1924,CHERR.IO,https://icomarks.com/ico/CHERR-IO,,,,
1926,Coin Analyst,https://icomarks.com/ieo/coinanalyst-tech,,,,
1932,Crypto Circle eXchange,https://icomarks.com/ico/crypto-circle-x,,,,
1964,GSC Platform,https://icomarks.com/ico/gsc-aviation,,,,
1991,Muusic,https://icomarks.com/ico/muusic-coin,,,,
1994,NHCT,https://icomarks.com/ico/nhct1538060677,,,,
2005,PROT,https://icomarks.com/ico/protex,,,,
2012,Sidera,https://icomarks.com/ico/sidera-blockchain-technologies,,,,
2015,Stips,https://icomarks.com/blockchain/stips,,,,
2029,Viola.AI,https://icomarks.com/ico/Viola-AI,,,,
2042,AIO.Community,https://icomarks.com/ico/AIO-Community,,,,
2055,Block-Chain.com,https://icomarks.com/ico/block-chain,,,,
2056,blocksquare.io,https://icomarks.com/ico/blocksquareio,,,,
