id,name,url,ESG,E,S,G
12,serenitysource,https://icomarks.com/ico/serenity-source,0.02,0.01,0.004,0.006
20,UCOIN,https://icomarks.com/ico/ucoin-currency,0.006,0.0,0.004,0.002
24,CINEMADROM (PreICO),https://icomarks.com/ico/CINEMADROM,0.01,0.0,0.004,0.006
44,QuickX Protocol,https://icomarks.com/ico/quick,0.002,0.0,0.0,0.002
54,Connecty.io,https://icomarks.com/ico/connecty-io,0.006,0.0,0.006,0.0
55,Crypto APIs,https://icomarks.com/blockchain/crypto-apis,0.004,0.0,0.002,0.002
56,CRYSTALS,https://icomarks.com/ico/bitcrystals,0.002,0.0,0.0,0.002
60,EverLife.AI,https://icomarks.com/ico/everlife-ai,0.006,0.0,0.002,0.004
74,PearlPay,https://icomarks.com/ico/pearl-finance,0.004,0.0,0.002,0.002
86,Urbit Data,https://icomarks.com/ico/Urbit,0.004,0.0,0.002,0.002
92,Bamboo (Wellness),https://icomarks.com/ico/BamboO,0.006,0.0,0.004,0.002
112,NOIA Network,https://icomarks.com/ico/Syntropy,0.011,0.0,0.011,0.0
125,ArcadierX,https://icomarks.com/ico/Arcadier-X,0.0,0.0,0.0,0.0
133,Casper API,https://icomarks.com/ico/casper,0.002,0.0,0.0,0.002
147,EyeGlob.Net,https://icomarks.com/ico/EyeGlob-Net,0.004,0.0,0.002,0.002
149,Galion.io,https://icomarks.com/ico/Galion-io,0.008,0.0,0.006,0.002
177,WorkChain.io,https://icomarks.com/ico/WorkChain,0.004,0.0,0.004,0.0
179,433token,https://icomarks.com/ico/433,0.004,0.0,0.002,0.002
186,CargoConX,https://icomarks.com/ico/cargox,0.004,0.0,0.002,0.002
190,Dapp.com,https://icomarks.com/ico/Dapp-com,0.011,0.0,0.009,0.002
204,ICOIN IEO,https://icomarks.com/ico/ICOIN,0.006,0.002,0.002,0.002
217,Sentigraph.io,https://icomarks.com/ico/Sentigraph-io,0.008,0.0,0.004,0.004
252,Aluna.Social,https://icomarks.com/ico/AlunaSocial,0.0,0.0,0.0,0.0
272,Job.com,https://icomarks.com/ico/Job-com,0.006,0.0,0.004,0.002
301,Allabout.me,https://icomarks.com/ico/AllabouT-ME,0.0,0.0,0.0,0.0
