id,name,url,ESG,E,S,G
23416,GreenEnergyCoin,https://icomarks.com/ico/GreenEnergyCoin,0.018 ,0.010 ,0.006 ,0.002 
17028,PowerCorp,https://icomarks.com/ico/PowerCorp,0.008 ,0.006 ,0.000 ,0.002 
6058,HERO Token,https://icomarks.com/ico/HERO-Token,0.011 ,0.000 ,0.011 ,0.000 
11110,PowerLoan,https://icomarks.com/ico/PowerLoan,0.006 ,0.006 ,0.000 ,0.000 
997,Gene Blockchain Token,https://icomarks.com/ico/Gene-Blockchain-Token,0.006 ,0.000 ,0.004 ,0.002 
3201,Vinnd,https://icomarks.com/ico/Vinnd,0.006 ,0.002 ,0.004 ,0.000 
3366,SmartHealthcareToday,https://icomarks.com/ico/SmartHealthcareToday,0.006 ,0.000 ,0.006 ,0.000 
9735,NWP solution,https://icomarks.com/ico/NWP-solution,0.011 ,0.002 ,0.009 ,0.000 
15120,THEBIKECOIN,https://icomarks.com/ico/THEBIKECOIN,0.011 ,0.000 ,0.009 ,0.002 
12873,HUSSY,https://icomarks.com/ico/HUSSY,0.008 ,0.000 ,0.002 ,0.006 
9287,Wind Energy Mining,https://icomarks.com/ico/Wind-Energy-Mining,0.018 ,0.014 ,0.000 ,0.004 
1050,GMP Project,https://icomarks.com/ico/GMP-Project,0.008 ,0.006 ,0.002 ,0.000 
12320,Industria,https://icomarks.com/ico/Industria,0.008 ,0.006 ,0.002 ,0.000 
528,Seratio Platform,https://icomarks.com/ico/Seratio-Platform,0.004 ,0.000 ,0.000 ,0.004 
6820,TuteCoin,https://icomarks.com/ico/TuteCoin,0.006 ,0.000 ,0.006 ,0.000 
10475,Clear Shop Vision - ORC,https://icomarks.com/ico/Clear-Shop-Vision---ORC,0.002 ,0.002 ,0.000 ,0.000 
12397,TrustedCars Flex,https://icomarks.com/ico/TrustedCars-Flex,0.002 ,0.000 ,0.002 ,0.000 
19428,LEONARDO,https://icomarks.com/ico/LEONARDO,0.002 ,0.000 ,0.002 ,0.000 
3722,Cher Ecocity,https://icomarks.com/ico/Cher-Ecocity,0.008 ,0.006 ,0.002 ,0.000 
9560,Flat Earth Coin,https://icomarks.com/ico/Flat-Earth-Coin,0.006 ,0.000 ,0.004 ,0.002 
12683,CryptoHunters,https://icomarks.com/ico/CryptoHunters,0.008 ,0.000 ,0.000 ,0.008 
22485,Izzy Care,https://icomarks.com/ico/Izzy-Care,0.011 ,0.000 ,0.011 ,0.000 
18739,CustomCoin Platform,https://icomarks.com/ico/CustomCoin-Platform,0.002 ,0.000 ,0.000 ,0.002 
2499,trade.io,https://icomarks.com/ico/trade.io,0.008 ,0.000 ,0.004 ,0.004 
794,Robot Vera,https://icomarks.com/ico/Robot-Vera,0.006 ,0.000 ,0.006 ,0.000 
1898,eSports.com,https://icomarks.com/ico/eSports.com,0.002 ,0.000 ,0.002 ,0.000 
8609,Leap With Alice,https://icomarks.com/ico/Leap-With-Alice,0.008 ,0.000 ,0.006 ,0.002 
13266,Miniera,https://icomarks.com/ico/Miniera,0.006 ,0.006 ,0.000 ,0.000 
21431,Smart City Coin Test Net,https://icomarks.com/ico/Smart-City-Coin-Test-Net,0.006 ,0.004 ,0.002 ,0.000 
17637,Monarchy investment,https://icomarks.com/ico/Monarchy-investment,0.008 ,0.004 ,0.000 ,0.004 
21010,TurkeyEnergyToken,https://icomarks.com/ico/TurkeyEnergyToken,0.010 ,0.006 ,0.000 ,0.004 
7783,Uulula,https://icomarks.com/ico/Uulula,0.011 ,0.000 ,0.011 ,0.000 
5321,BEAT,https://icomarks.com/ico/BEAT,0.010 ,0.000 ,0.006 ,0.004 
11753,LusoCoin,https://icomarks.com/ico/LusoCoin,0.004 ,0.000 ,0.004 ,0.000 
17396,Delivery Power Token,https://icomarks.com/ico/Delivery-Power-Token,0.006 ,0.002 ,0.002 ,0.002 
4045,The Imigize Service Blockchain,https://icomarks.com/ico/The-Imigize-Service-Blockchain,0.004 ,0.000 ,0.000 ,0.004 
17330,FRELDO,https://icomarks.com/ico/FRELDO,0.006 ,0.000 ,0.004 ,0.002 
198,REcoin,https://icomarks.com/ico/REcoin,0.004 ,0.000 ,0.002 ,0.002 
2928,Tangle Coins,https://icomarks.com/ico/Tangle-Coins,0.004 ,0.000 ,0.004 ,0.000 
10986,Adosia,https://icomarks.com/ico/Adosia,0.002 ,0.000 ,0.000 ,0.002 
11512,Leverage Platform,https://icomarks.com/ico/Leverage-Platform,0.006 ,0.000 ,0.004 ,0.002 
17611,HiP,https://icomarks.com/ico/HiP,0.009 ,0.000 ,0.009 ,0.000 
758,payperEx,https://icomarks.com/ico/payperEx,0.004 ,0.000 ,0.002 ,0.002 
14002,TEMBOCOIN,https://icomarks.com/ico/TEMBOCOIN,0.008 ,0.000 ,0.006 ,0.002 
16724,Max Property Group,https://icomarks.com/ico/Max-Property-Group,0.002 ,0.000 ,0.000 ,0.002 
334,FOODCOIN ECOSYSTEM,https://icomarks.com/ico/FOODCOIN-ECOSYSTEM,0.004 ,0.002 ,0.000 ,0.002 
496,Demeter,https://icomarks.com/ico/Demeter,0.006 ,0.002 ,0.002 ,0.002 
7595,New Waste Treatment System										,https://icomarks.com/ico/New-Waste-Treatment-System										,0.008 ,0.004 ,0.002 ,0.002 
12997,sprinto,https://icomarks.com/ico/sprinto,0.002 ,0.002 ,0.000 ,0.000 
20797,SmartAgro,https://icomarks.com/ico/SmartAgro,0.004 ,0.002 ,0.002 ,0.000 
1470,injii Access Coin,https://icomarks.com/ico/injii-Access-Coin,0.004 ,0.000 ,0.004 ,0.000 
10243,Vaynix,https://icomarks.com/ico/Vaynix,0.002 ,0.000 ,0.002 ,0.000 
2279,I am by Infobeing,https://icomarks.com/ico/I-am-by-Infobeing,0.002 ,0.000 ,0.002 ,0.000 
1932,BOCC.io,https://icomarks.com/ico/BOCC.io,0.006 ,0.000 ,0.006 ,0.000 
8961,Potion Owl,https://icomarks.com/ico/Potion-Owl,0.006 ,0.000 ,0.006 ,0.000 
20215,Secure Crypto Payments,https://icomarks.com/ico/Secure-Crypto-Payments,0.000 ,0.000 ,0.000 ,0.000 
21631,Karatcoin,https://icomarks.com/ico/Karatcoin,0.004 ,0.000 ,0.000 ,0.004 
14811,Find.Exchange,https://icomarks.com/ico/Find.Exchange,0.002 ,0.000 ,0.000 ,0.002 
1028,Auctus Project,https://icomarks.com/ico/Auctus-Project,0.002 ,0.000 ,0.000 ,0.002 
