id,name,url,ESG,E,S,G
12316,VenusEnergy,https://icomarks.com/ieo/VenusEnergy,0.010 ,0.008 ,0.002 ,0.000 
23416,GreenEnergyCoin,https://icomarks.com/ico/GreenEnergyCoin,0.018 ,0.010 ,0.006 ,0.002 
1553,HydroMiner,https://icomarks.com/ico/HydroMiner,0.014 ,0.010 ,0.000 ,0.004 
17028,PowerCorp,https://icomarks.com/ico/PowerCorp,0.008 ,0.006 ,0.000 ,0.002 
8483,Emyron Coin,https://icomarks.com/ico/Emyron-Coin,0.017 ,0.000 ,0.011 ,0.006 
6058,HERO Token,https://icomarks.com/ico/HERO-Token,0.011 ,0.000 ,0.011 ,0.000 
21656,CCET Project,https://icomarks.com/ico/ccet-project,0.008 ,0.008 ,0.000 ,0.000 
2732,Skychain,https://icomarks.com/ico/Skychain,0.006 ,0.000 ,0.004 ,0.002 
11647,Minery,https://icomarks.com/ico/Minery,0.014 ,0.010 ,0.002 ,0.002 
4719,XiWATT,https://icomarks.com/ico/XiWATT,0.010 ,0.008 ,0.002 ,0.000 
11110,PowerLoan,https://icomarks.com/ico/PowerLoan,0.006 ,0.006 ,0.000 ,0.000 
13271,GreenX,https://icomarks.com/ico/GreenX,0.012 ,0.006 ,0.002 ,0.004 
7790,TraXion,https://icomarks.com/ico/TraXion,0.011 ,0.000 ,0.009 ,0.002 
17767,Grapevine World,https://icomarks.com/ico/Grapevine,0.011 ,0.000 ,0.011 ,0.000 
338,DENTALFIX,https://icomarks.com/ico/DENTALFIX,0.002 ,0.000 ,0.000 ,0.002 
997,Gene Blockchain Token,https://icomarks.com/ico/Gene-Blockchain-Token,0.006 ,0.000 ,0.004 ,0.002 
1508,Robomed Network,https://icomarks.com/ico/Robomed-Network,0.002 ,0.000 ,0.002 ,0.000 
1525,WHA Project,https://icomarks.com/ico/WHA-Project,0.004 ,0.000 ,0.002 ,0.002 
2513,Synthium Health,https://icomarks.com/ico/Synthium-Health,0.015 ,0.000 ,0.011 ,0.004 
3074,Healthureum,https://icomarks.com/ico/Healthureum,0.006 ,0.000 ,0.004 ,0.002 
3201,Vinnd,https://icomarks.com/ico/Vinnd,0.006 ,0.002 ,0.004 ,0.000 
3358,WELL,https://icomarks.com/ico/WELL,0.015 ,0.000 ,0.015 ,0.000 
3366,SmartHealthcareToday,https://icomarks.com/ico/SmartHealthcareToday,0.006 ,0.000 ,0.006 ,0.000 
9735,NWP solution,https://icomarks.com/ico/NWP-solution,0.011 ,0.002 ,0.009 ,0.000 
10123,MedicoHealth,https://icomarks.com/ico/MedicoHealth,0.008 ,0.000 ,0.006 ,0.002 
11865,Escobarcoin,https://icomarks.com/ico/Escobarcoin,0.006 ,0.000 ,0.004 ,0.002 
13535,flyCARE,https://icomarks.com/ico/flyCARE,0.014 ,0.000 ,0.009 ,0.006 
15120,THEBIKECOIN,https://icomarks.com/ico/THEBIKECOIN,0.011 ,0.000 ,0.009 ,0.002 
16818,Helix3,https://icomarks.com/ico/Helix3,0.011 ,0.000 ,0.011 ,0.000 
21233,dClinic,https://icomarks.com/ico/dClinic,0.008 ,0.000 ,0.006 ,0.002 
21246,CareParrot,https://icomarks.com/ico/CareParrot,0.013 ,0.000 ,0.011 ,0.002 
22150,BitMED,https://icomarks.com/ico/BitMED,0.008 ,0.000 ,0.006 ,0.002 
12873,HUSSY,https://icomarks.com/ico/HUSSY,0.008 ,0.000 ,0.002 ,0.006 
9287,Wind Energy Mining,https://icomarks.com/ico/Wind-Energy-Mining,0.018 ,0.014 ,0.000 ,0.004 
1050,GMP Project,https://icomarks.com/ico/GMP-Project,0.008 ,0.006 ,0.002 ,0.000 
5113,KWHCoin,https://icomarks.com/ico/KWHCoin,0.010 ,0.008 ,0.000 ,0.002 
5759,NiQBiX,https://icomarks.com/ico/NiQBiX,0.010 ,0.004 ,0.006 ,0.000 
12320,Industria,https://icomarks.com/ico/Industria,0.008 ,0.006 ,0.002 ,0.000 
18784,Bitminer Factory,https://icomarks.com/ico/Bitminer-Factory,0.014 ,0.006 ,0.004 ,0.004 
397,Blocklancer,https://icomarks.com/ico/Blocklancer,0.004 ,0.000 ,0.002 ,0.002 
528,Seratio Platform,https://icomarks.com/ico/Seratio-Platform,0.004 ,0.000 ,0.000 ,0.004 
1919,CyberTrust,https://icomarks.com/ico/CyberTrust,0.004 ,0.000 ,0.000 ,0.004 
12178,Airchain Network,https://icomarks.com/ico/Airchain-Network,0.008 ,0.000 ,0.004 ,0.004 
18054,Laccoin,https://icomarks.com/ico/Laccoin,0.011 ,0.000 ,0.011 ,0.000 
