"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Afghanistan" 0 1 0.02 37.5 10022.78 0.28 19.21 0 0.14 -2.8 -0.99 -1.36 -1.36 -1.58 -1.52 38.9 0 530.15 4.98 0 68.03 0 0 0 47.9
"Afghanistan" 5112201 1 0 37.74 10972.38 0.3 17.96 0 0.06 -2.76 -1.01 -1.48 -1.15 -1.68 -1.49 37.1 0 502.06 0.62 0 72.08 0 0 0 71.4
"Albania" 450000 3 0 74.38 5403.7 1.88 36.94 3.07 0.08 0.38 0.2 0.13 0.23 -0.4 -0.46 64.2 13058.56 4531.03 1.97 3601.62 119.07 33.1 10.17 13.23 36.9
"Argentina" 29036200 1 0 79.84 179267.3 4.07 10.37 1.32 0.06 0.17 0.53 0.16 -0.18 -0.22 -0.28 57.2 642992.08 14613.04 0 0 16.54 41.1 11.57 1.83 106
"Argentina" 23138212 16 0 59.3 176894.6 3.98 10.52 1.09 0.2 0.01 0.53 0.05 -0.18 -0.2 -0.07 57.3 543831.8 11795.16 0 0 28.14 41.3 11.04 3.11 106
"Argentina" 0 2 0 59.3 168162 3.74 10.74 1.08 0.18 0.01 0.57 -0.1 -0.44 -0.41 -0.08 58.2 449276.45 9963.67 0 0 48.23 42.9 13.47 5.75 106
"Argentina" 0 1 0 52.2 154535.9 3.41 9.84 1.06 0.06 -0.08 0.59 -0.22 -0.48 -0.47 -0.14 59 385816.38 8496.43 0 0 70.65 42.3 11.04 3.11 106.3
"Armenia" 1400000 13 0 81.6 5371.3 1.88 12.56 1.05 0.03 -0.62 -0.56 -0.22 0.24 -0.19 -0.61 70.6 11473 4042 0.94 2314.1 482.72 33.6 15.71 5.43 18.5
"Armenia" 0 2 0 62.07 5712.2 2.01 11.13 1.17 0.06 -0.44 -0.14 -0.14 0.36 -0.18 -0.39 71.5 12468.39 4391.92 2.51 2259.3 482.99 34.4 15.02 4.75 18.5
"Armenia" 0 3 0 52.3 6746.6 2.4 8.38 1 0.06 -0.76 0.05 -0.27 0.25 -0.1 0.02 74.5 12658.18 4505.87 1.46 2615.5 489.01 25.1 13.13 6.55 22.6
"Australia" 58898487 1 0.01 87.22 397149.4 16.15 9.65 1.77 0.08 0.9 1.38 1.53 1.93 1.68 1.79 80.2 1381786.47 53934.15 0 63704.15 1.3 0 6.92 0.86 47.6
"Australia" 215209013 3 0.05 74.12 396059.9 15.86 9.6 1.69 0.07 0.99 1.38 1.59 1.9 1.71 1.8 80.8 1415613.52 57206.99 0 0 1.34 34.3 6.89 0.9 47.5
"Australia" 22534000 3 0 74.12 395199.1 15.6 10.06 1.67 0.05 0.91 1.27 1.56 1.87 1.73 1.82 80.7 1384859.08 54941.07 0 56498.71 1.44 0 7.41 0.96 47.4
"Australia" 0 5 0 74.9 378996.8 14.77 10.89 1.59 0.12 0.85 1.3 1.61 1.82 1.64 1.66 81.2 1360735.7 51722.07 0 39716.1 1.45 0 8 1.11 47.4
"Austria" 8975789 2 0.02 86.64 65867.7 7.49 33.97 2.53 0.07 1.05 1.39 1.5 1.44 1.83 1.54 78.9 417617.98 47429.16 2.07 10344.89 12.2 29.7 7.54 2.37 51.6
"Austria" 47281412 26 0.02 78.97 63131.4 7.14 34.08 2.41 0.03 0.9 1.39 1.49 1.53 1.89 1.6 78.7 455279.29 51466.56 2 12184.05 11.65 30.8 7.71 1.88 51.8
"Austria" 10667263 4 0 78.97 64497.8 7.26 33.98 2.41 0.13 0.92 1.34 1.52 1.46 1.9 1.55 78.7 444508.34 50070.4 1.55 10357.44 12.29 30.2 7.95 1.63 51.5
"Austria" 0 1 0.01 79.6 59142.4 6.63 35.77 2.21 0.08 0.91 1.4 1.65 1.41 1.8 1.51 78.7 434504.71 48809.23 1.44 14027.4 12.07 29.8 7.6 1.58 51.4
"Azerbaijan" 0 19 0 62.33 32728.1 3.29 1.93 0 0.01 -0.71 -1.51 -0.1 -0.3 -0.6 -0.83 66.8 0 4739.8 2.32 0 1.7 0 14.79 5.25 39.8
"The Bahamas" 44472578 1 0 0 2795.4 6.96 1.2 1.42 0 0.86 0.76 0.53 0.18 0.09 1.13 58.6 0 31483.98 2.27 1345.34 1 0 0 0 31.5
"The Bahamas" 0 4 0 0 2622.7 6.48 1.18 1.39 0 0.82 0.91 0.48 -0.05 0.07 1.13 59.4 0 32279.01 2.49 0 1 0 0 0 31.5
"Bangladesh" 0 5 0 41.77 87658 0.54 28.01 0.09 0.07 -1.26 -0.62 -0.73 -0.81 -0.67 -0.84 41 0 1815.61 5.7 33416.97 80.96 0 5.18 8.9 34.4
"Bangladesh" 1011341 6 0 29.56 92645 0.56 26.37 0.03 0.14 -0.93 -0.74 -0.73 -0.93 -0.63 -0.99 42.5 0 2122.08 5.59 32689.18 84.39 0 5.17 8.9 33.4
"Belarus" 14637400 2 0 82.3 56247 5.95 7.28 0 0.02 -0.05 -1.36 -0.32 -0.84 -0.86 -0.22 72.6 54601.08 5785.53 6.02 5510.09 1.93 25.4 14.58 12.85 52.7
"Belarus" 52493815 18 0.04 64.98 59271.6 6.28 7.21 0 0.05 0.35 -1.37 -0.26 -0.8 -0.88 -0.13 73.6 59876.49 6360.05 4.87 5391.31 2.04 25.2 14.61 5.01 52.9
"Belarus" 10894172 1 0.01 64.98 57681.2 6.12 7.81 0 0.11 0.33 -1.41 -0.13 -0.66 -0.84 0.03 74.4 64344.73 6837.77 5.61 7075.45 2.09 25.3 14.83 4.63 53.3
